x,y
202529.736877,444178.363331
202512.003852,444165.770199
202512,444165.750001
202512.003852,444165.770199
202505.810108,444180.844598
202506.345658,444213.509009
202512.003852,444165.770199
202512.003852,444165.770199
202529.91546,444148.955345
202505.204165,444182.634981
202512.003852,444165.770199
202512.003852,444165.770199
202520.635227,444181.37899
202512.003852,444165.770199
202511.683634,444180.83135
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512,444165.750001
202512,444165.750001
202499.29565,444195.416185
202563.710701,444163.731083
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202528.932083,444197.456219
202512.003852,444165.770199
202518.153463,444163.082888
202509.521064,444172.427051
202513.893766,444173.939412
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512,444165.750001
202512,444165.750001
202531.6,444181.200001
202533.660632,444171.005166
202512,444165.750001
202512.003852,444165.770199
202512.003852,444165.770199
202512,444165.750001
202510.057503,444205.009738
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202508.375746,444178.763175
202508.49807,444183.971101
202551.49937,444178.07229
202514.007389,444182.228539
202512.003852,444165.770199
202512,444165.750001
202512.003852,444165.770199
202499.355715,444175.033805
202495.978828,444205.409312
202512.003852,444165.770199
202507.261193,444188.773082
202512.003852,444165.770199
202512,444165.750001
202512.003852,444165.770199
202512,444165.750001
202522.145542,444168.428422
202512.003852,444165.770199
202512.003852,444165.770199
202533.009469,444189.941689
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202508.674078,444175.387488
202512,444165.750001
202533.660632,444171.005166
202508.82631,444186.771077
202512,444165.750001
202531.6,444181.200001
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202521.1,444176.100001
202510.401408,444194.586557
202512,444165.750001
202534.659155,444187.657864
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202509.00496,444170.760407
202512.003852,444165.770199
202509.5282,444174.864164
202508.27429,444179.230993
202514.301125,444183.318697
202501.359299,444199.497018
202507.081462,444196.584574
202515.56852,444182.993362
202512,444165.750001
202512.003852,444165.770199
202512,444165.750001
202515.22939,444169.193312
202512.003852,444165.770199
202517.600058,444170.244666
202512.003852,444165.770199
202505.204165,444182.634981
202512,444165.750001
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202500.916624,444159.862352
202512.003852,444165.770199
202512,444165.750001
202523.021721,444167.979353
202512.003852,444165.770199
202512,444165.750001
202561.19049,444185.916279
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202511.093134,444197.91193
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.482196,444178.590555
202512,444165.750001
202514.930193,444167.957526
202531.6,444181.200001
202510.739623,444189.028154
202563.094713,444185.267967
202531.6,444181.200001
202512.003852,444165.770199
202512.003852,444165.770199
202514.167153,444170.554121
202513.516213,444186.821861
202527.61023,444173.727163
202512,444165.750001
202512.003852,444165.770199
202514.286667,444170.186893
202512.003852,444165.770199
202512.003852,444165.770199
202514.745392,444177.484393
202512.003852,444165.770199
202512,444165.750001
202504.349185,444203.162787
202533.553625,444149.205002
202510.256689,444169.94344
202526.783362,444126.707252
202540.979374,444159.151776
202512,444165.750001
202506.916488,444186.798534
202537.580442,444166.059
202512,444165.750001
202512,444165.750001
202523.52355,444175.759126
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202527.581467,444177.572832
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202540.264302,444146.383434
202512,444165.750001
202501.769286,444156.935539
202521.921085,444200.805634
202512.003852,444165.770199
202512.003852,444165.770199
202512,444165.750001
202549.349496,444187.934558
202497.83021,444217.330123
202532.424353,444187.496542
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202518.261423,444180.803728
202510.303496,444175.20379
202512.003852,444165.770199
202514.552855,444167.702347
202516.671908,444172.603267
202548.503852,444202.270199
202512.141814,444177.446072
202512.003852,444165.770199
202512.003852,444165.770199
202500.947011,444202.283172
202512.003852,444165.770199
202512.003852,444165.770199
202512,444165.750001
202512,444165.750001
202512,444165.750001
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202514.423943,444152.062303
202512,444165.750001
202524.342677,444189.197796
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512,444165.750001
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202512,444165.750001
202512,444165.750001
202531.6,444181.200001
202509.541469,444195.222472
202512,444165.750001
202512.003852,444165.770199
202512.003852,444165.770199
202510.340643,444168.233608
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202509.636969,444185.346279
202512.003852,444165.770199
202512.003852,444165.770199
202512.003852,444165.770199
202506.623337,444199.454987
202512,444165.750001
202510.708292,444187.018295
202512,444165.750001
202511.0009,444174.189571
202512.003852,444165.770199
202516.326762,444156.127695
202512.003852,444165.770199
202517.858228,444175.363595
202512,444165.750001
202512.003852,444165.770199
